active_power,poa_global,cos_aoi,dni,dhi,temperature,wind_speed
258.07,236.48756874996735,0.37710973429084554,460.78687,63.558838,14.463,0.53851646
494.836,510.47602316411246,0.5701545034733262,725.53094,97.37374,18.313002,1.0
538.231,662.7561249236733,0.7191846752177086,753.0687,121.374435,20.363,1.746425
569.992,726.1727379941788,0.8140463336524184,709.2305,149.26025,21.813002,2.059126
566.5899999999999,800.419089676567,0.8482781209464099,804.4708,116.9766,23.213001,2.1023796
702.338,761.7480255100679,0.8195513197215394,807.7199,98.29809,24.013,2.2135942
603.873,633.3230448517646,0.729828116118408,747.00995,86.95566,24.013,2.2472203
441.332,400.62183897169444,0.5852272468306293,527.87213,91.94933,24.013,1.5
226.957,195.38121953874912,0.3956062559519581,349.44983,57.60433,22.313002,2.2671568
13.275,28.68012167708943,0.1738889525676747,85.30976,14.05514,20.063002,2.5612497
0.0,0.0,0.0,0.0,0.0,18.113,2.7658632
0.0,0.0,0.0,0.0,0.0,17.263,2.1931713
0.0,0.0,0.0,0.0,0.0,16.913,1.8439089
0.0,0.0,0.0,0.0,0.0,16.813002,1.555635
0.0,0.0,0.0,0.0,0.0,16.663,1.2727922
0.0,0.0,0.0,0.0,0.0,16.513,1.2806249
0.0,0.0,0.0,0.0,0.0,16.213001,1.0630146
0.0,0.0,0.0,0.0,0.0,15.412999,1.56205
0.0,0.0,0.0,0.0,0.0,14.963,1.4560219
0.0,0.0,0.0,0.0,0.0,14.063,0.53851646
0.0,0.0,0.0,0.0,0.0,13.713,1.0
0.0,0.0,0.0,0.0,0.0,12.813,0.3
0.0,0.0,0.0,0.0,0.0,12.513,0.5
16.432,0.0,0.15128417436389355,0.0,0.0,12.313,0.4
242.265,216.1342045071559,0.374882896460446,402.79837,66.101654,14.113,0.6
462.649,423.9631187136274,0.5676894494239961,522.1753,129.28786,18.163,0.53851646
613.497,525.9081504268297,0.7165658126642707,477.7337,186.19952,20.113,1.0049876
636.5020000000001,578.7009720270285,0.8113688163709714,437.355,227.1815,21.363,2.3086793
558.062,593.5644013832457,0.8456412894736691,420.98154,241.10815,22.063002,3.1780498
402.964,516.2869920364056,0.8170518476814658,333.1737,248.16042,22.413,3.758989
374.962,439.7045734518698,0.7275533354845359,326.69778,205.2909,22.313002,4.3908997
428.424,295.42050024649893,0.5832491134190977,231.78975,163.12233,21.513,4.022437
209.657,153.02063558850625,0.3939763724600923,173.64156,86.14747,20.813002,3.577709
23.699,25.4768810324019,0.17263499349202666,68.87415,13.811592,19.163,2.942788
0.0,0.0,0.0,0.0,0.0,17.213001,1.7088008
0.0,0.0,0.0,0.0,0.0,16.063002,1.1401755
0.0,0.0,0.0,0.0,0.0,14.963,0.8062258
0.0,0.0,0.0,0.0,0.0,14.213,0.7211103
0.0,0.0,0.0,0.0,0.0,14.263,2.1931713
0.0,0.0,0.0,0.0,0.0,14.313,2.4698176
0.0,0.0,0.0,0.0,0.0,14.413,2.7294688
0.0,0.0,0.0,0.0,0.0,14.413,2.7313
0.0,0.0,0.0,0.0,0.0,14.563,2.84605
0.0,0.0,0.0,0.0,0.0,16.563002,3.7161808
0.0,0.0,0.0,0.0,0.0,16.463001,3.8078864
0.0,0.0,0.0,0.0,0.0,16.263,3.8078864
0.0,0.0,0.0,0.0,0.0,16.163,3.4539833
8.802,0.0,0.14933182180178492,0.0,0.0,15.912999,2.84605
244.274,174.4766748058737,0.37263034952271673,291.67725,66.92054,17.063002,3.0083218
369.555,367.01740532574314,0.5652079015676359,408.2777,138.48724,18.763,3.6891732
191.921,521.0304395728925,0.7139423820829807,477.11255,182.96101,20.363,4.9396353
766.5339999999999,436.3962538810663,0.8087005472040505,234.09862,251.81831,21.013,5.860034
463.6230000000001,481.0975747357313,0.843028462688705,282.51205,247.25024,21.163,5.2801514
356.19,393.842718399893,0.8145910629917106,160.33719,268.58127,21.263,5.060632
185.142,418.89149801370155,0.7253308420361577,291.83463,210.76888,21.363,5.220153
285.788,392.3486263300691,0.5813348501818573,493.19223,106.36301,21.863,4.967897
